0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
0,100.00,350.00,1.00
1,110.00,350.00,1.00
2,120.00,350.00,1.00
3,130.00,350.00,1.00
4,140.00,350.00,1.00
5,150.00,350.00,1.00
6,160.00,350.00,1.00
7,170.00,350.00,1.00
8,180.00,350.00,1.00
9,190.00,350.00,1.00
